,tweet,text_clean,text_preprocessed
22,"Nama Kota Turikale Balum banyak yang tahu jika tu nama ibukota kabupaten Maros
https://t.co/mNwBcHVepW",nama kota turikale balum banyak yang tahu jika itu nama ibukota kabupaten maros,"['nama', 'kota', 'turikale', 'balum', 'banyak', 'yang', 'tahu', 'jika', 'itu', 'nama', 'ibukota', 'kabupaten', 'maros']"
23,"Georg von trapp is suchhhh a bad parent???? Bisa2nya istrinya mati dia malah kabur parti2 di ibukota sebulan penuh sama pacar baru, meanwhile ninggal 7 (tujuh) anaknya di desa, jan kebacut -_-",georg von trapp is suchhhh a bad parent bisanya istrinya mati dia malah kabur parti di ibukota sebulan penuh sama pacar baru meanwhile ninggal tujuh anaknya di desa jangan kebacut,"['georg', 'von', 'trap', 'is', 'such', 'a', 'bad', 'parent', 'bisanya', 'istrinya', 'mati', 'dia', 'malah', 'kabur', 'parti', 'di', 'ibukota', 'sebulan', 'penuh', 'sama', 'pacar', 'baru', 'meanwhile', 'ninggal', 'tujuh', 'anaknya', 'di', 'desa', 'jangan', 'kebacut']"
24,#nowplaying Biarlah Ibukota Pindah Kalimantan - Nurie Melanie | join via stream klik --&gt; https://t.co/RLqVbkQ1fz https://t.co/2XboKMPKze,biarlah ibukota pindah kalimantan nurie melanie join via stream klik begitu,"['biarlah', 'ibukota', 'pindah', 'kalimantan', 'nurie', 'melanie', 'join', 'via', 'stream', 'klik', 'begitu']"
25,"Yeay, tercapai ke salah satu lokasi yg pengen gue datengin buat ngopi, ngobrol ngalor ngidul, dengerin live music disela kesibukan kerja 🫶🏼

Makanan dan minuman harganya standar dan rasanya lumayan enak. Ya pokoknya berdua abis 200k, bisa liat sunset ibukota dan citylights gitu🤌🏼 https://t.co/RRNaVZQOCx",yeay tercapai ke salah satu lokasi yang pengin gue datengin buat ngopi mengobrol ngalor ngidul mendengarkan live music disela kesibukan kerja 🫶🏼 makanan dan minuman harganya standar dan rasanya lumayan enak ya pokoknya berdua habis ke bisa lihat sunset ibukota dan citylights gitu🤌🏼,"['yeay', 'tercapai', 'ke', 'salah', 'satu', 'lokasi', 'yang', 'pengin', 'gue', 'datengin', 'buat', 'ngopi', 'mengobrol', 'ngalor', 'ngidul', 'mendengarkan', 'live', 'music', 'disela', 'kesibukan', 'kerja', '\U0001faf6!medium-light_skin_tone!', 'makanan', 'dan', 'minuman', 'harganya', 'standar', 'dan', 'rasanya', 'lumayan', 'enak', 'ya', 'pokoknya', 'berdua', 'habis', 'ke', 'bisa', 'lihat', 'sunset', 'ibukota', 'dan', 'citylights', 'gitu!pinched_fingers_medium-light_skin_tone!']"
26,"@sindai_salie bagaimana mau pindahkan ibukota, bangun hambalang aja magkrak.. 😃😃",salie bagaimana mau pindahkan ibukota bangun hambalang saja magkrak 😃😃,"['salie', 'bagaimana', 'mau', 'pindahkan', 'ibukota', 'bangun', 'hambalang', 'saja', 'magkrak', '!grinning_face_with_big_eyes!!grinning_face_with_big_eyes!']"
27,"@JogjaUpdate Narimo ing ketimpangan,sibuk ngurusi budaya ben pangah istimewa ,tarif tempat wisata menyasar kaum ibukota,kawulane ngalah pekso rasah lungo2 mangan opo anane rasah ngarani mergo umr e ra nguati,opo meneh krungu rego lemah wis megap2 sek",narimo ing ketimpangansibuk ngurusi budaya ben pangah istimewa tarif tempat wisata menyasar kaum ibukotakawulane mengalah pekso rasah lungo mangan opo anane rasah ngarani mergo umr e ra nguatiopo meneh krungu rego lemah wis megap sek,"['narimo', 'ing', 'ketimpangansibuk', 'ngurusi', 'budaya', 'ben', 'pangah', 'istimewa', 'tarif', 'tempat', 'wisata', 'menyasar', 'kaum', 'ibukotakawulane', 'mengalah', 'pekso', 'rasah', 'lungo', 'mangan', 'opo', 'anane', 'rasah', 'ngarani', 'mergo', 'umr', 'e', 'ra', 'nguatiopo', 'meneh', 'krungu', 'rego', 'lemah', 'wis', 'megap', 'sek']"
28,@lek_brewok Candi Hambalang juga gak bisa loe selesaikan...apalagi utk m'mindahkan Ibukota..🤔🤭😂🤣,brewok candi hambalang juga enggak bisa lo selesaikanapalagi untuk mmindahkan ibukota🤔🤭😂🤣,"['brewok', 'candi', 'hambalang', 'juga', 'enggak', 'bisa', 'lo', 'selesaikanapalagi', 'untuk', 'mmindahkan', 'ibukota!thinking_face!!face_with_hand_over_mouth!!face_with_tears_of_joy!!rolling_on_the_floor_laughing!']"
29,@lavieenIune @blondsoleil Siap ngejelasin suara ikan kayak gimana sampe rekomendasi menu kopi kapitalisme di franchise Ibukota.,siap ngejelasin suara ikan kayak bagaimana sampai rekomendasi menu kopi kapitalisme di franchise ibukota,"['siap', 'ngejelasin', 'suara', 'ikan', 'kayak', 'bagaimana', 'sampai', 'rekomendasi', 'menu', 'kopi', 'kapitalisme', 'di', 'franchise', 'ibukota']"
30,@benjychod Pardon me coz aku hanya org pulau yg ga akan bisa meraih orang ibukota,pardon me coz aku hanya orang pulau yang enggak akan bisa meraih orang ibukota,"['pardon', 'me', 'coz', 'aku', 'hanya', 'orang', 'pulau', 'yang', 'enggak', 'akan', 'bisa', 'meraih', 'orang', 'ibukota']"
31,"Menuju ibukota sejenak, 160k unlimited coffee + free madang perjalanan fullsenyum https://t.co/CkEtqKcSxX",menuju ibukota sejenak ke unlimited coffee free madang perjalanan fullsenyum,"['menuju', 'ibukota', 'sejenak', 'ke', 'unlimited', 'coffe', 'fre', 'madang', 'perjalanan', 'fullsenyum']"
