created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Nov 16 11:25:40 +0000 2023;1725112897423237250;"@HoyPalestina حسبناالله ونعم الوكيل نعم المول ونعم النصير  Ya allah berikanlah kekuatan,kemampuan dan kesempatan untuk muslimin indonesia berjuang bergabung dengan para pejuang palestina aamiin ya allah ya tuhanku.";0;0;1;1;ca;1285215948815753225;1724951394115797436;firmanuciha84;https://twitter.com/firmanuciha84/status/1725112897423237250
Thu Nov 16 11:20:03 +0000 2023;1725111485113020746;"Selamat malam akal sehat 🇲🇨  Orang palestina tak pernah punya jasa pada indonesia Israelpun tak pernah menjajah indonesia  Kenapa palestina kau bela sampai guling2 Dan israel kalian musuhi sampai nungging2..?  Yg gila siapa..?  🇲🇨Salamwaras https://t.co/rsx3Yy6ePf";5;55;60;228;in;1311313121542250499;1725111485113020746;DiposuroP;https://twitter.com/DiposuroP/status/1725111485113020746
Thu Nov 16 11:18:34 +0000 2023;1725111110271991966;"Bombardeen Indonesia y no Palestina https://t.co/QK6RPytldZ";0;0;0;1;es;1507399010818138115;1725111110271991966;augustoz_;https://twitter.com/augustoz_/status/1725111110271991966
Thu Nov 16 11:14:01 +0000 2023;1725109967244734511;"Alhamdulillah 🤲 yang dimenangkan oleh Indonesia dan heters. Pro Palestina. Sedikit demi sedikit kebenaran pasti terungkap.sabar!!! Allah selalu bersama hambanya yang benar,ini adalah jihad sosmed.demi saudara kita dipalestina.  🇲🇨🇵🇸 Merdeka ✊ https://t.co/KYXa9VuKbo";0;0;1;1;in;1652227203508355072;1725109967244734511;Sugiyanti15800;https://twitter.com/Sugiyanti15800/status/1725109967244734511
Thu Nov 16 10:58:25 +0000 2023;1725106039098573211;"@Avolanza Ngajak perang sama warga malaysia juga nih. Sebelumnya RS Indonesia mau dibom. Kurang ajar emang israel";0;0;0;0;in;1589583253165350912;1725049354434822602;raf145388;https://twitter.com/raf145388/status/1725106039098573211
Thu Nov 16 10:54:44 +0000 2023;1725105112635584581;"Indonesia bersama Palestina  #StopGenocideInGaza  #CeaseFireInGaza  #CeasefireNOW  #FreePalestine";0;0;0;0;in;750508237;1725105112635584581;ebysoulisa;https://twitter.com/ebysoulisa/status/1725105112635584581
Thu Nov 16 10:49:22 +0000 2023;1725103761914269704;"#GanjarMahfud2024 bertekad akan perkuat posisi Indonesia untuk mendukung dan memperjuangkan kemerdekaan Palestina! https://t.co/cMrlTSDInq";0;0;0;0;in;1708392427076087808;1725103761914269704;zifa_auliya;https://twitter.com/zifa_auliya/status/1725103761914269704
Thu Nov 16 10:44:43 +0000 2023;1725102593096212911;"@KremlinRussia_E Tuan presiden,kami bangga pada anda ,kami rakyat Indonesia semuanya mendukung Rusia dalam perang harga diri Rusia melawan,Ukraina zalensky tolol.kami Minta anda tuan presiden kirim pasukan Islam Chechnya ke Gaza, rakyat Palestina perlu di bantu,ini genosida harus di hentikan.";0;0;0;0;in;1648555393671630849;1503742270599794696;punishe98373138;https://twitter.com/punishe98373138/status/1725102593096212911
Thu Nov 16 10:40:30 +0000 2023;1725101530397962353;"Gue tinggal di indonesia tenang begini aja bisa depresi ya.......ga kebayang kalo tinggal di palestina kayanya umur gue cuma sedetik....";0;0;0;0;in;48244496;1725101530397962353;mrsbluepants;https://twitter.com/mrsbluepants/status/1725101530397962353
Thu Nov 16 10:38:21 +0000 2023;1725100990289080723;"Agresi Israel Pukul Ekonomi Palestina, Kemiskinan-Pengangguran Melesat https://t.co/BLOED37DUG";1;3;9;7;in;17128975;1725100990289080723;CNNIndonesia;https://twitter.com/CNNIndonesia/status/1725100990289080723
Thu Nov 16 10:36:30 +0000 2023;1725100526302543929;"Sedih banget rasanya ketika anak² di Palestina cuma mengganggap negara indonesia doang yg sangat membantu keperluan mereka sedangkan kalian tetangga seiman sama sekali engga tidak di anggap oleh mereka";0;0;0;0;in;1425272728173486084;1725100520212406664;IntanSaptajiah;https://twitter.com/IntanSaptajiah/status/1725100526302543929
Thu Nov 16 10:34:26 +0000 2023;1725100003658768520;"@IATeam___ @netanyahu Ribuan ojol Makassar Indonesia pawai dukung Palestina Merdeka https://t.co/6RePBIjjag";0;0;0;0;in;841121722631774208;1725097306742276267;opinirakyat2024;https://twitter.com/opinirakyat2024/status/1725100003658768520
Thu Nov 16 10:33:06 +0000 2023;1725099667002917188;"@JhonSan843 @Dzoelfikri @muchlis_ar Merdekain aja dulu Palestina secara menyeluruh. Bukan urusan Israel juga dan tentu bukan urusan buzzer Zionis di Indonesia.";0;0;0;0;in;1728928172;1725051725663605107;Yanua02;https://twitter.com/Yanua02/status/1725099667002917188
Thu Nov 16 10:33:05 +0000 2023;1725099666201874799;"Mari berdiskusi soal masa depan penegakan Hukum Internasional sejak eskalasi kejahatan genosida terhadap rakyat Palestina 🍉  Acara akan diselenggarakan pada: Jumat, 17 November 2023 Pukul 14.00 - 16.00 WIB  Registrasi di https://t.co/zDsrDbtdtd";0;0;0;3;in;594435715;1725099666201874799;PSHKIndonesia;https://twitter.com/PSHKIndonesia/status/1725099666201874799
Thu Nov 16 10:31:44 +0000 2023;1725099325456568687;"Indonesia sudah memainkan peranannya dgn cukup baik melalui Kementrian Luar Negeri yang sangat lantang di PBB menyuarakan dukungan terhadap kemerdekaan Palestina.  Dr Abdul Rauf. https://t.co/RRP8KP2FE1";0;0;1;2;in;58800783;1725099325456568687;penguasahati;https://twitter.com/penguasahati/status/1725099325456568687
Thu Nov 16 10:25:50 +0000 2023;1725097840547135798;"@viviliaaaaa Saya mau pilih Capres &amp  Cawapres Indonesia bukan Palestina.";0;0;0;0;in;65568180;1725015714065797560;yudha4efah;https://twitter.com/yudha4efah/status/1725097840547135798
Thu Nov 16 10:24:45 +0000 2023;1725097567061733865;"@Hamdiirawan17 @RChangkur @memelord_666666 Gak usah nantang2, saya rasa banyak orang Indonesia kalau di fasilitasi untuk perang ke Israhell mau. Cuma regulasinya gak bisa. Jadi jangan bloon.  Masalah Coldplay dukung Palestina itu hal lain, yang ditolak kan kampanye LGBT &amp  mengibarkan bendera Pecinta Lobang Tahi (Pelangi).";0;1;0;0;in;1131847981060300800;1724704050753765464;VIPNetizen;https://twitter.com/VIPNetizen/status/1725097567061733865
Thu Nov 16 10:21:47 +0000 2023;1725096822899949647;"@sbyfess iki indonesia ga palestina masjid akeh bos";0;0;0;0;in;1720604843293765632;1725088518438027674;yayagitulahh;https://twitter.com/yayagitulahh/status/1725096822899949647
Thu Nov 16 10:20:23 +0000 2023;1725096468170809460;"Kita bersama rakyat Indonesia akan terus berjuang bersama rakyat Palestina.  Joko Widodo Presiden Republik Indonesia. https://t.co/UGHZouqqJv";0;0;1;1;in;58800783;1725096468170809460;penguasahati;https://twitter.com/penguasahati/status/1725096468170809460
Thu Nov 16 10:19:49 +0000 2023;1725096327099674894;"@soala_go2 @muchlis_ar KALAU KURANG BACA BUKU BEGINILAH NARASINYA. DANGKAL. INDONESIA 》BANGSA INDONESIA. PALESTINA 》BANGSA PALESTINA. RUJUKAN PALESTINA SDH ADA BIBEL ABAD AWAL. HANYA DIHILANGKAN YAHUDI. BACA YA.";0;1;0;0;in;1628336466542878720;1722189139217613225;DTevlon;https://twitter.com/DTevlon/status/1725096327099674894
Thu Nov 16 10:13:43 +0000 2023;1725094789916565969;"Selain itu, Indonesia juga secara aktif melakukan komunikasi dengan berbagai pihak untuk mencari solusi atas konflik antara Palestina-Israel. #BersamaIndonesiaMaju #PrabowoGibranIstimewa #PrabowoGemoy Prabowo Subianto";0;1;0;0;in;1718882541074358272;1725094758203486376;KarinaP35443364;https://twitter.com/KarinaP35443364/status/1725094789916565969
